Model,Train RMSE,Train MAE,Train MAPE (%),Train R2,Test RMSE,Test MAE,Test MAPE (%),Test R2,CV RMSE,CV MAE,CV MAPE (%),CV R2
Linear Regression,4.207548773596196,3.51971790754851,118.75747246798709,0.6841984076758464,5.8378427633226915,3.5032535660957045,36.631851578667636,-0.42801654249970666,,,,
Decision Tree,0.0,0.0,0.0,1.0,6.604165352260648,5.25,41.85992314720393,-0.8275292145816848,,,,
Sugeno V1 Label-Level,2.7540285901150665,2.3764999464714918,33.342920958655185,0.8647015297220074,4.2268883190981015,3.6050428330120687,37.09213965749111,0.2513652229659119,7.4777916576609345,6.396925505865301,113.10090226690325,-2.96802736818971
Sugeno V2 Full Rule-Level,0.0006008606306735,0.000377178829191,0.0042387745428515,0.9999999935597386,13.207792564515032,11.1416877564651,100.42131719078526,-6.309521206039981,15.462538967436046,12.229632594827574,182.8663428771264,-31.465176475328
