Model,Train RMSE,Train MAE,Train MAPE (%),Train R2,Test RMSE,Test MAE,Test MAPE (%),Test R2,CV RMSE,CV MAE,CV MAPE (%),CV R2
Linear Regression,4.207548773596196,3.51971790754851,118.75747246798709,0.6841984076758464,5.8378427633226915,3.5032535660957045,36.631851578667636,-0.42801654249970666,,,,
Decision Tree,0.0,0.0,0.0,1.0,6.604165352260648,5.25,41.85992314720393,-0.8275292145816848,,,,
Sugeno V1 Label-Level,2.5998467105611254,2.109767270999844,38.648854823533355,0.879426607070976,3.7928421774479366,3.188924362052552,27.037772836338707,0.3972211646387074,6.575387124926019,5.648256905809636,90.72013426381227,-0.8857548626118248
Sugeno V2 Full Rule-Level,0.0005341961835211,0.0003619672573195,0.0051517271234561,0.9999999949095338,22.55348051541492,12.062733051727529,110.44696018646974,-20.3135404359272,13.952111011265696,10.152275633540569,135.3691124027272,-35.1575559473851
