rule_id,consequent_label,average_firing_strength,average_normalized_firing_strength,average_rule_contribution,average_abs_rule_contribution
R20,Very_High,0.18327910038467962,0.24027692808400114,3.471333857221219,3.471333857221219
R4,Low,0.11842872509257138,0.12295411009061999,0.843318985926256,0.843318985926256
R1,Very_Low,0.12436713458054634,0.12159189657991294,0.15952538348479717,0.15952538348479717
R3,Medium,0.07720984162568563,0.0778695152071733,0.6277474178091227,0.6277474178091227
R13,Medium,0.10551002103445914,0.07065087835885542,1.02230305291364,1.02230305291364
R12,Medium,0.030033320809798387,0.07030605296948006,0.5931773332903246,0.5931773332903246
R10,Medium,0.06934124078457904,0.05625113996247618,1.3377906348925905,1.3377906348925905
R11,Medium,0.04796931873937005,0.045418184679734075,0.41053280627673205,0.41053280627673205
R14,High,0.04756906077348065,0.041372841943144466,0.1548790496428708,0.1548790496428708
R2,Low,0.04205094962208687,0.03737219396638633,0.2638933105831257,0.2638933105831257
R15,High,0.022883639284265254,0.027512670692326623,0.7480113658763756,0.7480113658763756
R18,High,0.01769271962524497,0.02133216168645933,0.34368075726316105,0.3436807572631611
R19,High,0.012149382080597237,0.016523771387817344,0.30825154419333767,0.30825154419333767
R9,Low,0.016238008068022808,0.015247200412558781,0.207133393444406,0.207133393444406
R16,High,0.011441819642132627,0.01500633534616331,0.39954645700150604,0.39954645700150604
R5,Medium,0.007614575392499325,0.00821333892492604,0.0843305887609189,0.08433058876091888
R17,Medium,0.0027226853182587595,0.004363071348059494,0.06641071064469242,0.06641071064469242
R6,Medium,0.0002739785922141296,0.00273770835990519,0.03387885434634974,0.03387885434634974
R7,Medium,0.0,0.0025,0.03190749842950914,0.03190749842950914
R8,High,0.0,0.0025,0.05108154812663631,0.05108154812663631
