rule_id,consequent_label,average_firing_strength,average_normalized_firing_strength,average_rule_contribution,average_abs_rule_contribution
R20,Very_High,0.18327910038467962,0.2519939809744971,3.6928132579736306,3.6928132579736315
R1,Very_Low,0.12436713458054634,0.12159189657991291,0.002243111821516492,0.03651909403843649
R17,High,0.04796931873937005,0.10380619896975855,0.7295742833396799,0.7295742833396799
R10,High,0.06735696035914415,0.09835707648111605,1.650733373413353,1.650733373413353
R2,Low,0.11842872509257138,0.09762454660554032,0.5492743268087883,0.5492743268087883
R11,Medium,0.10551002103445914,0.07534283476499773,0.9845270837832023,0.9845270837832023
R8,Medium,0.06934124078457904,0.056998086920702296,1.3897105833743866,1.3897105833743866
R3,Low,0.04205094962208687,0.03737219396638633,0.23392764529214488,0.23392764529214483
R5,Medium,0.030704100255620165,0.027829563485079666,0.17531026040876763,0.17531026040876763
R15,High,0.022883639284265254,0.027512670692326623,0.28013589399045,0.28013589399045
R7,Medium,0.030033320809798387,0.02434995673042324,0.309962523438274,0.309962523438274
R18,Very_High,0.01769271962524497,0.023447923757388058,0.2754046125169783,0.2754046125169783
R4,Low,0.016238008068022808,0.015211337832923782,0.11253057155956084,0.11253057155956084
R19,Very_High,0.011441819642132627,0.01500633534616331,0.13042591279114674,0.13042591279114674
R6,Medium,0.007614575392499325,0.008213338924926043,0.10809783259114605,0.10809783259114605
R14,High,0.0027226853182587595,0.004473102349520597,0.05920000412122968,0.05920000412122968
R13,High,0.0010015649452269175,0.003143705906863802,0.03919684539378575,0.03919684539378575
R12,Medium,0.00031298904538341237,0.0027252497114735445,0.036157104132692276,0.036157104132692276
R16,High,0.0,0.0025,0.029358722913805074,0.029358722913805074
R9,High,0.0,0.0025,0.029358722913805074,0.029358722913805074
