rule_id,consequent_label,average_firing_strength,average_normalized_firing_strength,average_rule_contribution,average_abs_rule_contribution
R1,Very_Low,0.09033563997552134,0.10331483638892444,261.39373877554067,261.39373877554067
R11,Medium,0.04048120828942748,0.07252221673160893,263.5424042898284,263.5424042898284
R17,Medium,0.031179919483396816,0.06816652909491691,302.241266732225,302.24126673222503
R19,High,0.04499863403972992,0.06268998686295511,296.11033889537117,296.11033889537117
R7,Medium,0.04794943009884402,0.06233853809371163,155.98715353373132,155.98715353373132
R14,High,0.030411185515029988,0.06204527169268825,343.212946022146,343.212946022146
R2,Low,0.04448282812920576,0.05304824458420035,134.14826640025092,179.6531766101473
R8,High,0.03929529727439627,0.05215600915476891,219.63172857587276,219.63172857587276
R16,High,0.039667108557961434,0.05066231182192648,237.55435069764187,237.5543506976419
R10,Medium,0.03976940305163563,0.04966990585940834,187.294589800021,187.294589800021
R5,Medium,0.030253102982943404,0.04362044899536537,134.79357861317428,134.79357861317428
R18,High,0.02080462565183323,0.04280887994909012,229.69105315752782,229.69105315752782
R20,Very_High,0.0236652616789603,0.03907988860622116,452.55652603384567,452.55652603384567
R12,Medium,0.009658157426606395,0.03817185649317999,133.0538741644139,133.05387416441388
R15,High,0.021892964947906778,0.037182854501512624,172.22486820011403,172.22486820011406
R9,Low,0.02409780527323612,0.03666025701082649,124.7445003285284,170.24941053842477
R4,Low,0.020241962058089723,0.03405728422911141,47.34060479156821,99.7090806222676
R3,Medium,0.017123287671232876,0.03305636649449809,113.48243557272555,113.48243557272555
R13,Medium,0.01713625969379055,0.03276113076671888,104.81893142752133,104.81893142752133
R6,Medium,0.010168055359412509,0.025987182668366512,76.63088410997861,76.6308841099786
