rule_id,consequent_label,average_firing_strength,average_normalized_firing_strength,average_rule_contribution,average_abs_rule_contribution
R20,Very_High,0.36189371658947633,0.12962907190714928,2.057309952245447,2.057309952245447
R13,High,0.3339182919370408,0.09122289459549501,-0.4658120298304628,0.6180143025766315
R18,Very_High,0.2886736396125301,0.08058924724578351,1.1770016935526855,1.1770016935526855
R19,Very_High,0.2814426505239811,0.07438184107191652,1.2510870632345272,1.2510870632345272
R11,High,0.3030999560563727,0.06858992349622718,-0.2342348494813268,0.3634096117344484
R6,Medium,0.23763052675165194,0.06206332833188231,2.4215467077272104,2.4215467077272104
R12,High,0.2646928062066404,0.05793616411514337,-0.2351846426953196,0.37898897865746267
R2,Very_Low,0.1909138455274988,0.05388413526111332,-0.5736094020715854,0.5736094020715853
R1,Very_Low,0.1900352629438736,0.04712162348431738,-0.5578809675130533,0.5578809675130534
R3,Low,0.2246837060063815,0.04073367938397347,-0.3747084083381066,0.3747084083381066
R5,Medium,0.21784836705984972,0.040446010094460694,1.4027751383070286,1.4027751383070288
R17,High,0.22090022036777315,0.03946060154988264,0.02763096657618903,0.12184394335053243
R10,Medium,0.23558505495368873,0.03744625458858927,1.6650458992735824,1.6650458992735824
R4,Low,0.18946924225971298,0.035959302443953414,-0.2970823384680644,0.2970823384680644
R8,Medium,0.17128924929609574,0.03256946521686362,1.4398654018853532,1.4398654018853532
R9,Medium,0.19226010876113106,0.028521004308963333,1.1291920251054541,1.1291920251054541
R15,High,0.13245802190824313,0.02358637252865736,0.0504583700562089,0.12527040710313667
R16,High,0.14498465238213207,0.021444588861400028,-0.00905544011272098,0.07236889749212139
R7,Low,0.11956684658283698,0.021072160531919987,-0.14824831593237736,0.14824831593237736
R14,Medium,0.08086409013437976,0.013342330982308321,0.5730915529050732,0.5730915529050733
