rule_id,consequent_label,average_firing_strength,average_normalized_firing_strength,average_rule_contribution,average_abs_rule_contribution
R16,High,0.35687968865099173,0.13265118353357747,1144.01064926011,1144.0106492601103
R20,Very_High,0.4552924095676677,0.11780112806455582,804.6614964156435,818.8649463488059
R18,Very_High,0.3816416329434735,0.09140796694715016,654.1326940945913,671.8706564795434
R13,High,0.3204067587732107,0.06668421904550774,506.1065515589108,506.10655155891067
R19,Very_High,0.30435308356706803,0.06074219399368703,470.1250049870673,470.1250049875529
R6,Medium,0.31523761962590724,0.05883018465692412,-429.8057645627562,429.80576456275617
R15,Medium,0.22285389986853124,0.04946891916860447,-401.2472015794513,401.2472015794513
R11,High,0.2642015618912035,0.046913499316311884,354.46619680475726,354.46619680475726
R5,Low,0.24664435516165273,0.045032300351073,70.30983459551764,138.28957868943422
R17,High,0.2540757960183171,0.042928311460927876,305.305903162718,305.305903162718
R14,Medium,0.19992794287125717,0.03951415824271154,-319.04894960376777,319.04894960376777
R12,High,0.21468560361507485,0.0369481977389906,258.34692680044463,258.34692680044463
R3,Low,0.19607477771446147,0.03002666953445427,113.04851441821249,127.52840473685588
R1,Very_Low,0.1681869226094994,0.028491452425318177,47.96133570400444,47.96133570400444
R4,Low,0.1910832152544717,0.02726202204978777,116.50401782715642,124.48901941806474
R8,Low,0.15622808879986477,0.02669141280266343,275.36500830469464,275.90345553229406
R10,Medium,0.17946776452125843,0.02569763479503669,-191.17312454022417,191.17312454022417
R2,Very_Low,0.1595852354168395,0.025251748068309477,52.351871300483054,52.35187130048306
R9,Medium,0.16936704125363022,0.0249252557710606,-178.49349907571772,178.49349907571772
R7,Low,0.14195913932994456,0.02273154203334785,209.68921767785596,210.74638588348748
