rule_id,original_label,sugeno_output,average_firing_strength,average_normalized_firing_strength,average_rule_contribution,average_abs_rule_contribution
R20,Very_High,R20_OUT,0.36189371658947633,0.12962907190714928,-1.6215311302884516,1.6215311302884516
R13,High,R13_OUT,0.3339182919370408,0.09122289459549501,-8.533475773410911,8.533475773410911
R18,Very_High,R18_OUT,0.2886736396125301,0.08058924724578351,5.629415250752944,5.629415250752944
R19,Very_High,R19_OUT,0.2814426505239811,0.07438184107191652,4.797114960731335,4.797114960731335
R11,High,R11_OUT,0.3030999560563727,0.06858992349622718,-0.13568506372114514,1.0977072946944952
R6,Medium,R6_OUT,0.23763052675165194,0.06206332833188231,4.163025667097346,4.163025667097346
R12,High,R12_OUT,0.2646928062066404,0.05793616411514337,-6.204746116447362,6.204746116447362
R2,Very_Low,R2_OUT,0.1909138455274988,0.05388413526111332,0.33336317406654603,0.4391612138208222
R1,Very_Low,R1_OUT,0.1900352629438736,0.04712162348431738,-3.236703873337703,3.236703873337703
R3,Low,R3_OUT,0.2246837060063815,0.04073367938397347,-2.0381083251734458,2.0381083251734458
R5,Medium,R5_OUT,0.21784836705984972,0.040446010094460694,2.0129761143613876,2.02534576096867
R17,High,R17_OUT,0.22090022036777315,0.03946060154988264,3.966782808314163,3.966782808314163
R10,Medium,R10_OUT,0.23558505495368873,0.03744625458858927,-1.2759919453746826,1.2759919453746829
R4,Low,R4_OUT,0.18946924225971298,0.035959302443953414,-0.3904304877298059,0.4714204735538513
R8,Medium,R8_OUT,0.17128924929609574,0.03256946521686362,-0.2444216968061586,0.25902502245764264
R9,Medium,R9_OUT,0.19226010876113106,0.028521004308963333,-0.5972518134890168,0.6602496027046686
R15,High,R15_OUT,0.13245802190824313,0.02358637252865736,0.8348556916822367,0.8348556916822367
R16,High,R16_OUT,0.14498465238213207,0.021444588861400028,4.018962648727001,4.018962648727002
R7,Low,R7_OUT,0.11956684658283698,0.021072160531919987,2.5463785447070917,2.5463785447070912
R14,Medium,R14_OUT,0.08086409013437976,0.013342330982308321,2.679279579671553,2.679279579671553
