rule_id,consequent_label,average_firing_strength,average_normalized_firing_strength,average_rule_contribution,average_abs_rule_contribution
R20,Very_High,0.36189371658947633,0.17794966466179993,1.3050824310959952,1.698112152157646
R19,Very_High,0.3339182919370408,0.10957064623342454,0.20653029959302951,0.8655927344066547
R17,High,0.23878750897955067,0.07179738696087662,1.4844036803376683,1.4844036803376681
R15,High,0.2646928062066404,0.06924850454765227,1.413919073033835,1.4139190730338351
R16,High,0.23763052675165194,0.06008634368813128,1.0689358440124648,1.068935844012465
R18,Very_High,0.22090022036777315,0.050107808461096734,0.25299565762445864,0.39327535606554526
R3,Low,0.1909138455274988,0.049045225866410955,-0.0011136597332550874,0.11455471300444495
R1,Very_Low,0.1900352629438736,0.043469432551725515,-0.6241063624440509,0.6241063624440509
R11,Medium,0.23558505495368873,0.04236714815107437,0.6991027186321672,0.6991027186321672
R2,Low,0.2246837060063815,0.038335306870600286,0.024666239039045128,0.08612119458192176
R5,Medium,0.21784836705984972,0.03827574475484273,0.4642781986866088,0.46427819868660886
R9,High,0.18535206973793222,0.038080368396595544,0.6874853650248535,0.6874853650248535
R10,High,0.2121214628622666,0.03598979020716532,0.7546175186421202,0.7546175186421202
R6,Medium,0.18946924225971298,0.034376976444680206,0.44673899873258793,0.44673899873258793
R8,Medium,0.17128924929609574,0.0321082362660488,0.5354004371698953,0.5354004371698953
R7,Medium,0.19226010876113106,0.028703820303930316,0.42409462668339043,0.42409462668339043
R14,High,0.13245802190824313,0.024744963746322603,0.6507445615859122,0.6507445615859122
R13,High,0.14498465238213207,0.022479472755830922,0.5179290760106723,0.5179290760106723
R4,Low,0.11956684658283698,0.020198291682496285,0.05853532587427557,0.08002209429210588
R12,Medium,0.08086409013437976,0.013064867449294753,0.22238384415809268,0.22238384415809262
