Model,Train RMSE,Train MAE,Train MAPE (%),Train R2,Test RMSE,Test MAE,Test MAPE (%),Test R2
Full Rule-Level Sugeno (Claude),516.9083914766003,339.30114863727795,18.520680291655044,0.9570454491097795,16973.943834788788,9080.10401885457,184.9746565825758,-72.11059460327547
Linear Regression,1965.0771485889081,1418.4168485557173,66.73953291316099,0.37921498034352663,1544.6361141568168,1222.2994960960448,36.785523170951855,0.3945655021418072
Decision Tree,0.0,0.0,0.0,1.0,2692.5468736247967,2176.8,64.80498497396206,-0.8396759862594922
