Model,Train RMSE,Train MAE,Train MAPE (%),Train R2,Test RMSE,Test MAE,Test MAPE (%),Test R2
Full Rule-Level Sugeno (Gemini),518.933195702407,342.0299759847928,18.637073519742348,0.9567082717549691,15527.145928906195,8403.334780743675,168.58545957480794,-60.17839281987846
Linear Regression,1965.0771485889081,1418.4168485557173,66.73953291316099,0.37921498034352663,1544.6361141568168,1222.2994960960448,36.785523170951855,0.3945655021418072
Decision Tree,0.0,0.0,0.0,1.0,2692.5468736247967,2176.8,64.80498497396206,-0.8396759862594922
