Model,RMSE,MAE,MAPE (%),R2
Linear Regression,5.8378427633226915,3.5032535660957045,36.631851578667636,-0.42801654249970666
Decision Tree,6.604165352260648,5.25,41.85992314720393,-0.8275292145816848
