Model,Train RMSE,Train MAE,Train MAPE (%),Train R2,Test RMSE,Test MAE,Test MAPE (%),Test R2
Full Rule-Level Sugeno (Claude),0.0011781135067371886,0.0008031798345179102,0.011205131976492375,0.9999999752411615,18.134456827534745,12.481895099079281,107.1838503191412,-12.77962996353412
Linear Regression,4.207548773596196,3.51971790754851,118.75747246798709,0.6841984076758464,5.8378427633226915,3.5032535660957045,36.631851578667636,-0.42801654249970666
Decision Tree,0.0,0.0,0.0,1.0,6.604165352260648,5.25,41.85992314720393,-0.8275292145816848
