Model,Train RMSE,Train MAE,Train MAPE (%),Train R2,Test RMSE,Test MAE,Test MAPE (%),Test R2,CV RMSE,CV MAE,CV MAPE (%),CV R2
Linear Regression,1965.0771485889081,1418.4168485557173,66.73953291316099,0.37921498034352663,1544.6361141568168,1222.2994960960448,36.785523170951855,0.3945655021418072,,,,
Decision Tree,0.0,0.0,0.0,1.0,2692.5468736247967,2176.8,64.80498497396206,-0.8396759862594922,,,,
Sugeno V1 Label-Level,1538.1045636272295,1136.105116935336,51.26470010838959,0.6196759938886381,1774.507541175082,1474.2988653526422,46.26560694336283,0.20095637111090991,3398.6044563387536,2020.3503643071897,78.39537507584765,-3.0160437816905956
Sugeno V2 Full Rule-Level,518.933195702407,342.0299759847928,18.637073519742348,0.9567082717549692,15527.145928906197,8403.334780743675,168.58545957480794,-60.17839281987846,18916.084009952658,9629.079548705364,290.3315927831497,-90.65698360086272
