Model,RMSE,MAE,MAPE (%)
Linear Regression,4.216287658645299,3.499478214028753,88.7437223854103
Decision Tree,0.0,0.0,0.0
Sugeno FIS (Gemini),2.1880101975676998,1.5505907042842793,29.434225958357384
Sugeno FIS (Chatgpt),2.2649928143306597,1.566670819365385,30.74338724661791
Sugeno FIS (Claude),2.166493241573183,1.413302052132461,27.993353518311054
