Model,Train RMSE,Train MAE,Train MAPE (%),Train R2,Test RMSE,Test MAE,Test MAPE (%),Test R2,CV RMSE,CV MAE,CV MAPE (%),CV R2
Linear Regression,1965.0771485889081,1418.4168485557173,66.73953291316099,0.37921498034352663,1544.6361141568168,1222.2994960960448,36.785523170951855,0.3945655021418072,,,,
Decision Tree,0.0,0.0,0.0,1.0,2692.5468736247967,2176.8,64.80498497396206,-0.8396759862594922,,,,
Sugeno V1 Label-Level,1394.6550057130296,1006.4992733172129,38.063542998974235,0.6873088444447941,1873.2573179071073,1668.7493385601495,56.51753748243243,0.10954972965424814,1891.7327184445458,1515.112466288951,58.83424746047548,0.3251698925838271
Sugeno V2 Full Rule-Level,516.9083914766003,339.30114863727795,18.520680291655044,0.9570454491097796,16973.943834788788,9080.10401885457,184.9746565825758,-72.11059460327547,11958.882019239896,6937.298014034347,224.05924639276435,-36.83488385931492
