Model,Train RMSE,Train MAE,Train MAPE (%),Train R2,Test RMSE,Test MAE,Test MAPE (%),Test R2,CV RMSE,CV MAE,CV MAPE (%),CV R2
Linear Regression,4.207548773596196,3.51971790754851,118.75747246798709,0.6841984076758464,5.8378427633226915,3.5032535660957045,36.631851578667636,-0.42801654249970666,,,,
Decision Tree,0.0,0.0,0.0,1.0,6.604165352260648,5.25,41.85992314720393,-0.8275292145816848,,,,
Sugeno V1 Label-Level,2.6677138985540703,2.255990191394368,32.333687924505575,0.8730494752569906,3.1734168306376107,2.6405244452348406,23.112791422944966,0.578028914620017,6.663807484862062,5.521189774982823,91.28881561099132,-2.279139498524164
Sugeno V2 Full Rule-Level,0.0011781135067371,0.0008031798345179,0.0112051319764923,0.9999999752411616,18.134456827534745,12.48189509907928,107.1838503191412,-12.77962996353412,13.15336059195722,9.76224059613786,87.20482550570327,-9.131103242802112
