Model,RMSE,MAE,MAPE (%),R2
Linear Regression,1544.6361141568168,1222.2994960960448,36.785523170951855,0.3945655021418072
Decision Tree,2692.5468736247967,2176.8,64.80498497396206,-0.8396759862594922
