Model,Train RMSE,Train MAE,Train MAPE (%),Train R2,Test RMSE,Test MAE,Test MAPE (%),Test R2
Full Rule-Level Sugeno (Gpt),517.7026827966839,342.30968514229664,18.60838749447917,0.9569133381167801,12344.950014173557,6266.043951658447,130.94841336753234,-37.67171798330271
Linear Regression,1965.0771485889081,1418.4168485557173,66.73953291316099,0.37921498034352663,1544.6361141568168,1222.2994960960448,36.785523170951855,0.3945655021418072
Decision Tree,0.0,0.0,0.0,1.0,2692.5468736247967,2176.8,64.80498497396206,-0.8396759862594922
