Model,Train RMSE,Train MAE,Train MAPE (%),Train R2,Test RMSE,Test MAE,Test MAPE (%),Test R2,CV RMSE,CV MAE,CV MAPE (%),CV R2
Linear Regression,1965.0771485889081,1418.4168485557173,66.73953291316099,0.37921498034352663,1544.6361141568168,1222.2994960960448,36.785523170951855,0.3945655021418072,,,,
Decision Tree,0.0,0.0,0.0,1.0,2692.5468736247967,2176.8,64.80498497396206,-0.8396759862594922,,,,
Sugeno V1 Label-Level,1775.19943704911,1307.30775138354,55.85476120654837,0.493387010864079,2039.4670782048938,1381.7182666305182,34.76050353962639,-0.055475587388672976,2264.7018141205913,1618.9652557335653,63.35600878573231,-0.0008292741767216505
Sugeno V2 Full Rule-Level,1105.5857187140175,508.6919916514908,17.6197897083677,0.8034980530359856,5426.987674536721,3622.243549661384,93.85992634037557,-6.473644999377357,4346.079808364384,3024.526350593542,120.09496389174592,-3.134203457421568
