Model,Train RMSE,Train MAE,Train MAPE (%),Train R2,Test RMSE,Test MAE,Test MAPE (%),Test R2,CV RMSE,CV MAE,CV MAPE (%),CV R2
Sugeno V2 Full Rule-Level Quantile,396.1031487480735,191.98683148369147,6.614149778841043,0.9747768915575299,13218.90629190048,8521.744773370638,240.14524461631507,-43.3410366433253,,,,
Linear Regression,1965.0771485889081,1418.4168485557173,66.73953291316099,0.37921498034352663,1544.6361141568168,1222.2994960960448,36.785523170951855,0.3945655021418072,,,,
Decision Tree,0.0,0.0,0.0,1.0,2692.5468736247967,2176.8,64.80498497396206,-0.8396759862594922,,,,
