Model,Train RMSE,Train MAE,Train MAPE (%),Train R2,Test RMSE,Test MAE,Test MAPE (%),Test R2,CV RMSE,CV MAE,CV MAPE (%),CV R2
Linear Regression,1965.0771485889081,1418.4168485557173,66.73953291316099,0.37921498034352663,1544.6361141568168,1222.2994960960448,36.785523170951855,0.3945655021418072,,,,
Decision Tree,0.0,0.0,0.0,1.0,2692.5468736247967,2176.8,64.80498497396206,-0.8396759862594922,,,,
Sugeno V1 Label-Level,1473.591472052476,1116.0651729920244,46.67622647017464,0.6509109578602648,1766.4594017797963,1494.5464678915812,46.85529565054335,0.20818793382068912,2250.122851564819,1758.7138590669722,66.41746034495871,-0.07247509062494113
Sugeno V2 Full Rule-Level,396.1031487480735,191.98683148369147,6.614149778841043,0.97477689155753,13218.90629190048,8521.744773370638,240.14524461631507,-43.3410366433253,7721.117155460648,5115.293647933887,190.0804252002294,-15.178228425754844
