Model,Train RMSE,Train MAE,Train MAPE (%),Train R2,Test RMSE,Test MAE,Test MAPE (%),Test R2,CV RMSE,CV MAE,CV MAPE (%),CV R2
Linear Regression,4.207548773596196,3.51971790754851,118.75747246798709,0.6841984076758464,5.8378427633226915,3.5032535660957045,36.631851578667636,-0.42801654249970666,,,,
Decision Tree,0.0,0.0,0.0,1.0,6.604165352260648,5.25,41.85992314720393,-0.8275292145816848,,,,
Sugeno V1 Label-Level,2.2971292319241043,1.7868527279564612,24.58570420706618,0.9058702610323336,9.848227952458759,6.462324306797651,62.4691644760132,-3.0639151926640444,7.326532979068427,5.660828351878013,97.86116082853441,-1.7939187008553326
Sugeno V2 Full Rule-Level,0.0006410824525991,0.0003450987312053,0.0064992041641908,0.999999992668653,16.872869613835565,11.760847353298098,111.28236972743449,-10.9290635553306,12.012748294359858,9.794668313965447,155.21319571357623,-19.158270039656
