rule_id,consequent_label,average_firing_strength,average_normalized_firing_strength,average_rule_contribution,average_abs_rule_contribution
R12,Medium,0.13844246088633655,0.20923298384682082,2.8484786069503256,2.8484786069503256
R1,Very_Low,0.1489344212894433,0.14321519737405247,0.2715155900761407,0.2715155900761407
R18,High,0.04769081211411981,0.12777259987348893,2.0272222489018192,2.0272222489018192
R4,Low,0.09498808541077705,0.11514866415703251,0.7865628994119044,0.7865628994119044
R15,High,0.01657924392984341,0.07752575258233887,0.9824742320795978,0.9824742320795978
R13,Medium,0.03545136954986859,0.07638259981437719,0.795339516476221,0.7953395164762209
R2,Low,0.047583957831428915,0.06584997269879442,0.716883815609038,0.7168838156090379
R10,Medium,0.03745239533000388,0.06527987332994448,0.3111238324263058,0.3111238324263058
R9,Low,0.05091495661551827,0.06259453978807915,1.6057663293857456,1.6057663293857458
R19,High,0.04464062507811166,0.0496156382869173,0.6014444086665871,0.6014444086665871
R5,Medium,0.0023215462161467817,0.0031274324485793654,0.023550923000331944,0.023550923000331948
R11,Medium,0.0013594360963876113,0.00263868402431306,0.0060647091833192935,0.0060647091833192935
R3,Medium,0.0006802584933831583,0.0013203910236480971,0.003034765622903894,0.003034765622903894
R14,High,0.0002082399480022391,0.0002610321866295561,0.003428518794131115,0.003428518794131115
R6,Medium,1.7845606041567373e-05,3.4638564983816746e-05,7.96127240771258e-05,7.96127240771258e-05
R16,High,0.0,0.0,0.0,0.0
R17,Medium,0.0,0.0,0.0,0.0
R20,Very_High,0.0,0.0,0.0,0.0
R7,Medium,0.0,0.0,0.0,0.0
R8,High,0.0,0.0,0.0,0.0
