rule_id,consequent_label,average_firing_strength,average_normalized_firing_strength,average_rule_contribution,average_abs_rule_contribution
R9,Medium,0.13844246088633655,0.20107993844028443,2.8191125467781033,2.8191125467781033
R1,Very_Low,0.1489344212894433,0.14321519737405247,0.2759824587330144,0.2881498190360671
R3,Low,0.09498808541077705,0.11514866415703251,0.8504984882414458,0.8504984882414458
R17,High,0.04769081211411981,0.10738733570119748,1.7282081834960148,1.7282081834960148
R10,Medium,0.03545136954986859,0.07026285043422979,0.6960651818273883,0.6960651818273883
R8,Medium,0.03745239533000388,0.06786969830859885,0.3504653891541122,0.3504653891541122
R2,Very_Low,0.047583957831428915,0.06714591477565038,0.59025078693791,0.5902978249811498
R7,Low,0.05091495661551827,0.06259453978807915,1.5960327897954423,1.5960327897954423
R12,High,0.01657924392984341,0.05552549544799383,0.6071798068783973,0.6071798068783973
R18,Very_High,0.04464062507811166,0.0496156382869173,0.5909190137078018,0.5909190137078018
R19,Very_High,0.004683411530146354,0.03381619408398668,0.2846339817695424,0.2846339817695424
R16,High,0.007935922822919144,0.022910062353680975,0.3549450778237432,0.3549450778237432
R4,Low,0.0023215462161467817,0.0031614296305053774,0.049575321185625035,0.049575321185625035
R11,High,0.0002082399480022391,0.00026704121779083455,0.004528065413244779,0.004528065413244779
R15,High,0.0,0.0,0.0,0.0
R13,High,0.0,0.0,0.0,0.0
R14,Medium,0.0,0.0,0.0,0.0
R20,Very_High,0.0,0.0,0.0,0.0
R5,Medium,0.0,0.0,0.0,0.0
R6,Medium,0.0,0.0,0.0,0.0
