rule_id,consequent_label,average_firing_strength,average_normalized_firing_strength,average_rule_contribution,average_abs_rule_contribution
R20,Very_High,0.022907453977963357,0.14926807813051632,2.18661513689355,2.1866151368935496
R1,Very_Low,0.06273714211420224,0.12381291429778747,0.47041514158134756,0.47041514158134745
R3,Low,0.044987868787588495,0.11570694376590307,0.8373158442771024,0.8373158442771024
R19,Very_High,0.02994330083526923,0.09773783727543028,1.4973443844415755,1.4973443844415755
R10,Medium,0.06104830927985007,0.0896608292161294,1.1715687064104179,1.1715687064104177
R9,Medium,0.01522491963181206,0.0636987641065407,0.5620964657118731,0.5620964657118731
R8,Medium,0.042531206858876736,0.060755264586067184,1.3907082826689945,1.3907082826689943
R11,High,0.015894996983498645,0.05952599822599899,0.25776232583422404,0.29365804592243466
R2,Very_Low,0.027414201436956952,0.04245961039108136,0.23212372048234875,0.2321237204823488
R12,High,0.0128720470973992,0.03873822839836402,0.8844030924400922,0.9202988125283028
R5,Medium,0.004233666589106918,0.033405059599798774,0.216536335248486,0.216536335248486
R18,Very_High,0.0010894089271305109,0.025806009511528765,0.42795651796006984,0.4279565179600698
R17,High,0.004299356812840537,0.025000975043297135,0.36993516158420847,0.40583088167241915
R7,Low,0.008468278759330913,0.018909561332880524,0.2620266660674629,0.26202666606746294
R4,Low,0.0029659398652871313,0.01298209334034169,0.15757761954226684,0.15757761954226684
R13,High,0.0017162729463198936,0.01166509711978187,0.14935045819049703,0.18524617827870768
R15,High,0.00044805244571785715,0.008082394314846308,0.04215230865135705,0.07804802873956769
R16,High,0.00018208447136127946,0.007723601608922197,0.03907015837291815,0.07496587846112877
R14,Medium,4.947947591339129e-05,0.007560739734783983,0.08237403883727382,0.08237403883727382
R6,Medium,0.0,0.0075000000000000015,0.08109039171778533,0.08109039171778533
