rule_id,consequent_label,average_firing_strength,average_normalized_firing_strength,average_rule_contribution,average_abs_rule_contribution
R20,Very_High,0.022907453977963357,0.19830330128652984,2.6703396405161097,2.6703396405161093
R4,Low,0.044987868787588495,0.12066150054592426,0.7963111774425389,0.7963111774425388
R1,Very_Low,0.06273714211420224,0.11881291429778747,0.11899974371109652,0.11899974371109652
R13,Medium,0.06104830927985007,0.08463363016240608,1.0777994979982404,1.0777994979982404
R12,Medium,0.01522491963181206,0.07468218276529055,0.4405921158135378,0.44547581180053886
R3,Medium,0.012334818651778025,0.07413301929105534,0.5900533040022645,0.5900533040022645
R10,Medium,0.042531206858876736,0.055778611826884136,1.3319136970358243,1.3319136970358243
R11,Medium,0.014641831441097703,0.04503946986132816,0.3689282227928503,0.3689282227928503
R15,High,0.0128720470973992,0.044576696095663455,1.54038001760885,1.54038001760885
R18,High,0.004299356812840537,0.04110258267288268,1.0794886366129723,1.0794886366129723
R14,High,0.015894996983498645,0.04043435428568153,0.2409950781918942,0.2409950781918942
R2,Low,0.027414201436956952,0.03745961039108135,0.254812603059911,0.254812603059911
R19,High,0.0010894089271305109,0.023619523318526507,0.6150338279551862,0.6150338279551862
R9,Low,0.008468278759330913,0.013918622429186627,0.16282039657186373,0.16282039657186373
R16,High,0.0017162729463198936,0.008110226146088462,0.2702109643357171,0.2702109643357171
R5,Medium,0.0029659398652871313,0.00798209334034169,0.06687234579426643,0.06687234579426643
R17,Medium,0.00044805244571785715,0.003082066178680632,0.03428173869773634,0.03428173869773634
R6,Medium,6.829882845437355e-05,0.002669595104661234,0.025208534268868193,0.025208534268868193
R7,Medium,0.0,0.0025,0.024067849877941035,0.024067849877941035
R8,High,0.0,0.0025,0.07480034075523515,0.07480034075523515
