rule_id,original_label,sugeno_output,average_firing_strength,average_normalized_firing_strength,average_rule_contribution,average_abs_rule_contribution
R20,Very_High,R20_OUT,0.022907453977963357,0.19830330128652984,2.556725012580675,2.556725012580675
R4,Low,R4_OUT,0.044987868787588495,0.12066150054592426,0.11996319222928127,0.7648393390802157
R1,Very_Low,R1_OUT,0.06273714211420224,0.11881291429778747,0.13355050824755726,0.13355050824755726
R13,Medium,R13_OUT,0.06104830927985007,0.08463363016240608,0.52454456849542,0.52454456849542
R12,Medium,R12_OUT,0.01522491963181206,0.07468218276529055,3.734907088957641,3.73490708895764
R3,Medium,R3_OUT,0.012334818651778025,0.07413301929105534,0.4792272176131965,0.4792272176131965
R10,Medium,R10_OUT,0.042531206858876736,0.055778611826884136,1.579935850565588,1.579935850565588
R11,Medium,R11_OUT,0.014641831441097703,0.04503946986132816,0.6152125377950035,0.6152125377950036
R15,High,R15_OUT,0.0128720470973992,0.044576696095663455,1.0980473243722506,1.0980473243722506
R18,High,R18_OUT,0.004299356812840537,0.04110258267288268,0.48533733880428115,0.48533733880428115
R14,High,R14_OUT,0.015894996983498645,0.04043435428568153,-0.03742622163539844,0.03742622163539844
R2,Low,R2_OUT,0.027414201436956952,0.03745961039108135,0.24835803746440774,0.24835803746440774
R19,High,R19_OUT,0.0010894089271305109,0.023619523318526507,0.7528142053284971,0.7528142053284972
R9,Low,R9_OUT,0.008468278759330913,0.013918622429186627,0.5137414803473261,0.5137414803473261
R16,High,R16_OUT,0.0017162729463198936,0.008110226146088462,0.19324579651129445,0.19324579651129445
R5,Medium,R5_OUT,0.0029659398652871313,0.00798209334034169,0.15039320394129038,0.15039320394129038
R17,Medium,R17_OUT,0.00044805244571785715,0.003082066178680632,0.06120972769509736,0.06120972769509736
R6,Medium,R6_OUT,6.829882845437355e-05,0.002669595104661234,0.057524639508650624,0.057524639508650624
R7,Medium,R7_OUT,0.0,0.0025,0.05404556145683485,0.05404556145683485
R8,High,R8_OUT,0.0,0.0025,0.05404556145686664,0.05404556145686664
