rule_id,consequent_label,average_firing_strength,average_normalized_firing_strength,average_rule_contribution,average_abs_rule_contribution
R5,Medium,0.01630789302022179,0.11294267398408389,260.90638024889165,260.9063802488917
R1,Very_Low,0.02850293542074365,0.09352468210615918,254.8644497818019,254.8644497818019
R10,High,0.012452669174883548,0.08258724670805744,288.1002829288951,288.1002829288951
R9,High,0.00821482931071972,0.07223320559089091,216.25210737793088,216.25210737793088
R8,Medium,0.018527370102006453,0.06212518608060788,371.5803863342407,371.5803863342407
R17,High,0.010403933965577802,0.06101091161750191,233.71317427876195,233.71317427876195
R14,High,0.008572786972929602,0.05874103779013499,277.5679432327775,277.5679432327775
R15,High,0.004635363041661588,0.058021418252616495,199.23706093173786,199.23706093173783
R3,Low,0.01478147423352903,0.052729930120983766,209.08585104391105,209.08585104391105
R19,Very_High,0.005362393886613632,0.045532032236897065,173.5805657758688,194.09068579972805
R7,Medium,0.016307893020221793,0.04211099928463984,198.53377137424792,198.53377137424795
R13,High,0.00395581374617419,0.03710675386215005,158.39838609006927,158.3983860900693
R18,Very_High,0.0034172287760377957,0.03532972706518412,107.72946250998403,128.23958253384333
R11,Medium,0.015245746110030826,0.033703572754100235,209.27148977225988,209.27148977225988
R4,Low,0.005437085157463637,0.03351208790105063,166.93091361316525,166.93091361316522
R20,Very_High,0.000777741459404312,0.029236590745702874,45.0147085626616,65.52482858652088
R16,High,0.0012628832354859751,0.028213955769422573,90.92286754265746,90.92286754265746
R2,Low,0.006242661448140904,0.024865209762223756,117.74190356158698,117.74190356158698
R6,Medium,0.004999158093706889,0.02414401124430474,143.3120707819054,143.3120707819054
R12,Medium,0.0,0.012328767123287671,108.6238207699581,108.62382076995812
