rule_id,original_label,sugeno_output,average_firing_strength,average_normalized_firing_strength,average_rule_contribution,average_abs_rule_contribution
R20,Very_High,R20_OUT,0.022907453977963357,0.14926807813051632,1.7527881871015771,1.7777810841848911
R1,Very_Low,R1_OUT,0.06273714211420224,0.12381291429778747,0.288825047738812,0.28882504773881196
R3,Low,R3_OUT,0.044987868787588495,0.11570694376590307,-0.5946140357220364,0.6088845913107935
R19,Very_High,R19_OUT,0.02994330083526923,0.09773783727543028,1.50995984089716,1.515049617765087
R10,Medium,R10_OUT,0.06104830927985007,0.0896608292161294,0.4427110033037106,0.5367137934833537
R9,Medium,R9_OUT,0.01522491963181206,0.0636987641065407,3.3884376825755966,3.3884376825755966
R8,Medium,R8_OUT,0.042531206858876736,0.060755264586067184,1.8449372556795012,1.8449372556795012
R11,High,R11_OUT,0.015894996983498645,0.05952599822599899,0.1748485069365497,0.199115071649422
R2,Very_Low,R2_OUT,0.027414201436956952,0.04245961039108136,0.3133274718606607,0.3133274718606606
R12,High,R12_OUT,0.0128720470973992,0.03873822839836402,0.5082951452411157,0.513384922112421
R5,Medium,R5_OUT,0.004233666589106918,0.033405059599798774,2.4201550770849067,2.4201550770849067
R18,Very_High,R18_OUT,0.0010894089271305109,0.025806009511528765,0.7576928205239354,0.7576928205239355
R17,High,R17_OUT,0.004299356812840537,0.025000975043297135,0.024726714614481927,0.10247841496694579
R7,Low,R7_OUT,0.008468278759330913,0.018909561332880524,0.4530374302500733,0.4530374302500733
R4,Low,R4_OUT,0.0029659398652871313,0.01298209334034169,0.04571906582340119,0.05080884247847024
R13,High,R13_OUT,0.0017162729463198936,0.01166509711978187,0.09468948056478318,0.09977925736319135
R15,High,R15_OUT,0.00044805244571785715,0.008082394314846308,0.026806867369375004,0.036149161983261964
R16,High,R16_OUT,0.00018208447136127946,0.007723601608922197,0.06501736640703455,0.06501736640703455
R14,Medium,R14_OUT,4.947947591339129e-05,0.007560739734783983,0.03562414172359399,0.038221093427026176
R6,Medium,R6_OUT,0.0,0.0075000000000000015,0.031057839791845405,0.036147616562497646
