rule_id,original_label,sugeno_output,average_firing_strength,average_normalized_firing_strength,average_rule_contribution,average_abs_rule_contribution
R5,Medium,R5_OUT,0.01630789302022179,0.11294267398408389,103.64303024428575,353.704977807097
R1,Very_Low,R1_OUT,0.02850293542074365,0.09352468210615918,514.5954484075633,514.5954484075633
R10,High,R10_OUT,0.012452669174883548,0.08258724670805744,628.8968596627246,803.5909833221123
R9,High,R9_OUT,0.00821482931071972,0.07223320559089091,-1570.8233284031967,1652.6830351770534
R8,Medium,R8_OUT,0.018527370102006453,0.06212518608060788,438.71723026201283,441.1207425861792
R17,High,R17_OUT,0.010403933965577802,0.06101091161750191,446.39035235172554,453.9290800489959
R14,High,R14_OUT,0.008572786972929602,0.05874103779013499,41.88416152750896,180.68320578436868
R15,High,R15_OUT,0.004635363041661588,0.058021418252616495,789.8559911166466,816.4391617627623
R3,Low,R3_OUT,0.01478147423352903,0.052729930120983766,83.46575594228274,123.30089211396142
R19,Very_High,R19_OUT,0.005362393886613632,0.045532032236897065,-285.4367672466516,395.04138470064066
R7,Medium,R7_OUT,0.016307893020221793,0.04211099928463984,273.9217715820279,273.9217715820279
R13,High,R13_OUT,0.00395581374617419,0.03710675386215005,192.70764827477134,192.70764827477134
R18,Very_High,R18_OUT,0.0034172287760377957,0.03532972706518412,14.497675572265983,162.33141015078482
R11,Medium,R11_OUT,0.015245746110030826,0.033703572754100235,348.03049064971947,408.37585772731796
R4,Low,R4_OUT,0.005437085157463637,0.03351208790105063,96.46186086003928,105.58381475630422
R20,Very_High,R20_OUT,0.000777741459404312,0.029236590745702874,399.95776030974986,399.9577603097499
R16,High,R16_OUT,0.0012628832354859751,0.028213955769422573,1134.17392695617,1134.17392695617
R2,Low,R2_OUT,0.006242661448140904,0.024865209762223756,346.8323365599572,346.8323365599572
R6,Medium,R6_OUT,0.004999158093706889,0.02414401124430474,-40.86198324522746,129.50802605983537
R12,Medium,R12_OUT,0.0,0.012328767123287671,111.52755519655878,112.82488361180609
