Model,Train RMSE,Train MAE,Train MAPE (%),Train R2,Test RMSE,Test MAE,Test MAPE (%),Test R2,CV RMSE,CV MAE,CV MAPE (%),CV R2
Linear Regression,4.207548773596196,3.51971790754851,118.75747246798709,0.6841984076758464,5.8378427633226915,3.5032535660957045,36.631851578667636,-0.42801654249970666,,,,
Decision Tree,0.0,0.0,0.0,1.0,6.604165352260648,5.25,41.85992314720393,-0.8275292145816848,,,,
Sugeno V1 Label-Level,3.1560427938781617,2.5175777529284527,44.42745263472899,0.8223186831898621,3.6866882557600937,3.1398986583957935,26.31449248190197,0.4304900942481743,5.930822091502762,4.95445430312227,86.84953525398873,-1.1682140581313483
Sugeno V2 Full Rule-Level,0.0166429953212165,0.0093009124234585,0.1684865850292508,0.9999950589530604,27.75168728343785,17.463959267251816,162.00685093003983,-31.27061466408833,8.921359382753884,7.517591561918937,145.46746537081162,-19.227349164100254
