Model,Train RMSE,Train MAE,Train MAPE (%),Train R2,Test RMSE,Test MAE,Test MAPE (%),Test R2,CV RMSE,CV MAE,CV MAPE (%),CV R2
Linear Regression,1965.0771485889081,1418.4168485557173,66.73953291316099,0.37921498034352663,1544.6361141568168,1222.2994960960448,36.785523170951855,0.3945655021418072,,,,
Decision Tree,0.0,0.0,0.0,1.0,2692.5468736247967,2176.8,64.80498497396206,-0.8396759862594922,,,,
Sugeno V1 Label-Level,1400.8775217988202,1090.3944507972194,49.37613928830349,0.6845123587930027,1996.3190237856775,1548.5599393124253,44.116562613238216,-0.011287606996501331,1925.0260928848722,1454.7394704375547,59.81985537077304,0.23205299548483022
Sugeno V2 Full Rule-Level,331.0434419871256,258.2041955064125,11.969355306228753,0.9823821870271356,14488.818080252406,6470.520309047132,142.71982859339215,-52.26975672382245,10563.226657381516,5166.5447112959455,152.56620430242876,-25.06376309242444
