Model,Train RMSE,Train MAE,Train MAPE (%),Train R2,Test RMSE,Test MAE,Test MAPE (%),Test R2,CV RMSE,CV MAE,CV MAPE (%),CV R2
Linear Regression,1965.0771485889081,1418.4168485557173,66.73953291316099,0.37921498034352663,1544.6361141568168,1222.2994960960448,36.785523170951855,0.3945655021418072,,,,
Decision Tree,0.0,0.0,0.0,1.0,2692.5468736247967,2176.8,64.80498497396206,-0.8396759862594922,,,,
Sugeno V1 Label-Level,1520.6600210478002,1140.2782583630876,53.81689667217792,0.6282540257857216,1598.42288071781,1320.7931641185119,41.493001283620316,0.3516669372028828,2048.3575214460093,1536.7703488862146,62.70794194826938,0.173925511109394
Sugeno V2 Full Rule-Level,317.8145313768566,240.4172302836928,11.5061485148359,0.9837621128607728,31657.0452289974,11474.630819645046,230.37297866746152,-253.3053798576916,15221.938180237612,7244.552717583201,211.89387407601657,-67.68268894786014
