feature,min,max,q1,q2,q3,mean,std
PointsAjust,0.0,1.0,0.1226415094339622,0.2751572327044025,0.3977987421383648,0.307831481002843,0.23249317569440703
TeamExp,0.0,1.0,0.4,0.6,0.8,0.6328767123287672,0.2769970053349561
Length,0.0,1.0,0.1515151515151515,0.2424242424242424,0.3636363636363636,0.28684101286841013,0.1786835214627152
